GEOTYPE|ST|COUNTY|PLACE|CONSCITY|CSA|MSA|MD|GEOCOMP|GEO_ID|GEO_TTL|SECTOR|NAICS2017|NAICS2017_TTL|NAICS2017_F|GEO_ID_F|YEAR|FIRM|FIRM_F|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F|RCPTOT_IMP|RCPTOT_IMP_F|PAYANN_IMP|PAYANN_IMP_F|EMP_IMP|EMP_IMP_F
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|72|Accommodation and food services|||2017|22369||29025||35314396||10188465||2375269||536245||0|2|0|1|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|721|Accommodation|||2017|1458||1773||7336512||1837703||408182||57774||0|2|0|1|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|7211|Traveler accommodation|||2017|1240||1538||7176361||1806216||401456||56547||0|2|0|1|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|72111|Hotels (except casino hotels) and motels|||2017|1189||1485||6508941||1672076||367507||52760||0|3|0|1|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|721110|Hotels (except casino hotels) and motels|||2017|1189||1485||6508941||1672076||367507||52760||0|3|0|1|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|72112|Casino hotels|||2017|5||6||645624||129138||32948||3560||0|1|0|1|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|721120|Casino hotels|||2017|5||6||645624||129138||32948||3560||0|1|0|1|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|72119|Other traveler accommodation|||2017|47||47||21796||5002||1001||227||0|2|0|0|0|0
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|721191|Bed-and-breakfast inns|||2017|28||28||5244||933||186||57||0|0|0|0|0|0
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|721199|All other traveler accommodation|||2017|19||19||16552||4069||815||170||0|2|0|0|0|0
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|7212|RV (recreational vehicle) parks and recreational camps|||2017|129||134||67418||16282||2754||554||0|1|0|0|0|0
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|72121|RV (recreational vehicle) parks and recreational camps|||2017|129||134||67418||16282||2754||554||0|1|0|0|0|0
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|721211|RV (recreational vehicle) parks and campgrounds|||2017|70||71||30314||6163||1008||191||0|2|0|1|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|721214|Recreational and vacation camps (except campgrounds)|||2017|59||63||37104||10119||1746||363||0|0|0|0|0|0
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|7213|Rooming and boarding houses, dormitories, and workers' camps|||2017|91||101||92733||15205||3972||673||0|2|0|0|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|72131|Rooming and boarding houses, dormitories, and workers' camps|||2017|91||101||92733||15205||3972||673||0|2|0|0|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|721310|Rooming and boarding houses, dormitories, and workers' camps|||2017|91||101||92733||15205||3972||673||0|2|0|0|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|722|Food services and drinking places|||2017|20924||27252||27977884||8350762||1967087||478471||0|1|0|1|0|1
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|7223|Special food services|||2017|764||1944||3120084||1007845||228578||44198||0|2|0|2|0|2
2|17|0|0||0|0|0|0|0400000US17|Illinois|72|72231|Food service contractors|||2017|165||1329||2516303||816739||189701||34424||0|3|0|2|0|3
