Geographic Area Name,Estimate!!Total!!Population 16 years and over with earnings!!Median earnings (dollars),"Estimate!!Total!!Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings"
"Abingdon city, Illinois",25764,39055
"Adair CDP, Illinois",38906,N
"Addieville village, Illinois",38229,54077
"Addison village, Illinois",32520,56481
"Adeline village, Illinois",31250,44805
"Albany village, Illinois",30658,56803
"Albers village, Illinois",45000,65762
"Albion city, Illinois",31185,44677
"Aledo city, Illinois",32476,47211
"Alexis village, Illinois",35724,49109
"Algonquin village, Illinois",47112,85941
"Alhambra village, Illinois",35179,49726
"Allendale village, Illinois",34479,53373
"Allenville village, Illinois",30682,36010
"Allerton village, Illinois",31625,44873
"Alma village, Illinois",30179,43364
"Alorton village, Illinois",19167,52391
"Alpha village, Illinois",36250,63718
"Alsey village, Illinois",35250,40319
"Alsip village, Illinois",40720,58390
"Altamont city, Illinois",30047,43541
"Alton city, Illinois",26843,48401
"Altona village, Illinois",30551,42458
"Alto Pass village, Illinois",26000,39461
"Alvan village, Illinois",37500,41267
"Amboy city, Illinois",32647,55161
"Anchor village, Illinois",39063,47586
"Andalusia village, Illinois",37500,61010
"Andover village, Illinois",42031,52662
"Anna city, Illinois",25250,43985
"Annapolis CDP, Illinois",-0,N
"Annawan town, Illinois",37067,56931
"Antioch village, Illinois",46254,80563
"Apple Canyon Lake CDP, Illinois",32262,66962
"Apple River village, Illinois",30724,37477
"Arcola city, Illinois",26756,42589
"Arenzville village, Illinois",39167,56999
"Argenta village, Illinois",38188,52833
"Arlington village, Illinois",26591,54864
"Arlington Heights village, Illinois",53896,95417
"Armington village, Illinois",35083,42972
"Aroma Park village, Illinois",30917,51924
"Arrowsmith village, Illinois",27031,47979
"Arthur village, Illinois",31637,50948
"Ashkum village, Illinois",37426,50813
"Ashland village, Illinois",36563,53164
"Ashley city, Illinois",33750,48484
"Ashmore village, Illinois",31858,40945
"Ashton village, Illinois",31607,48716
"Assumption city, Illinois",31250,39970
"Astoria town, Illinois",22016,38464
"Athens city, Illinois",38197,57340
"Atkinson town, Illinois",30720,52441
"Atlanta city, Illinois",30353,49827
"Atwood village, Illinois",36771,55746
"Auburn city, Illinois",35357,51967
"Augusta village, Illinois",30583,43553
"Aurora city, Illinois",32393,61660
"Ava city, Illinois",32102,48184
"Aviston village, Illinois",42286,69898
"Avon village, Illinois",26172,48024
"Baldwin village, Illinois",24896,38243
"Banner village, Illinois",22083,47219
"Bannockburn village, Illinois",6488,158093
"Bardolph village, Illinois",20859,32453
"Barrington village, Illinois",64947,126365
"Barrington Hills village, Illinois",53519,199096
"Barry city, Illinois",32065,45884
"Bartelso village, Illinois",51538,63658
"Bartlett village, Illinois",52272,78717
"Bartonville village, Illinois",29880,44517
"Basco village, Illinois",38594,N
"Batavia city, Illinois",47281,92764
"Batchtown village, Illinois",56875,N
"Bath village, Illinois",16071,42582
"Baylis village, Illinois",22917,36262
"Bay View Gardens village, Illinois",27167,37492
"Beach Park village, Illinois",37801,55801
"Beardstown city, Illinois",26045,40313
"Beason CDP, Illinois",26685,N
"Beaverville village, Illinois",32750,43273
"Beckemeyer village, Illinois",27344,40540
"Bedford Park village, Illinois",41827,58073
"Beecher village, Illinois",49213,63242
"Beecher City village, Illinois",30405,50687
"Belgium village, Illinois",31346,41306
"Belknap village, Illinois",25938,N
"Belle Prairie City town, Illinois",44000,48288
"Belle Rive village, Illinois",33125,43856
"Belleville city, Illinois",32093,49546
"Bellevue village, Illinois",24920,55633
"Bellflower village, Illinois",35982,50251
"Bellmont village, Illinois",21750,37154
"Bellwood village, Illinois",31624,49357
"Belvidere city, Illinois",26783,45642
"Bement village, Illinois",30022,49065
"Benld city, Illinois",25147,43068
"Bensenville village, Illinois",31870,51622
"Benson village, Illinois",30688,46561
"Bentley town, Illinois",41250,N
"Benton city, Illinois",29414,48147
"Berkeley village, Illinois",33914,57115
"Berlin village, Illinois",26827,41446
"Berwyn city, Illinois",32868,51578
"Bethalto village, Illinois",35974,60611
"Bethany village, Illinois",31286,50599
"Biggsville village, Illinois",33438,85343
"Big Rock village, Illinois",45192,73886
"Bingham village, Illinois",-0,N
"Bishop Hill village, Illinois",30714,45565
"Bismarck village, Illinois",31842,47475
"Blandinsville village, Illinois",30750,39739
"Bloomingdale village, Illinois",47356,79724
"Bloomington city, Illinois",39058,72891
"Blue Island city, Illinois",30137,47467
"Blue Mound village, Illinois",29659,45947
"Bluffs village, Illinois",36406,47858
"Bluford village, Illinois",25071,39902
"Bolingbrook village, Illinois",38926,65924
"Bondville village, Illinois",28167,55020
"Bone Gap village, Illinois",34375,54576
"Bonfield village, Illinois",40114,60102
"Bonnie village, Illinois",32279,46704
"Boody CDP, Illinois",42813,70767
"Boulder Hill CDP, Illinois",28664,48136
"Bourbonnais village, Illinois",31471,60717
"Bowen village, Illinois",34688,51894
"Braceville village, Illinois",41250,59584
"Bradford village, Illinois",32986,41045
"Bradley village, Illinois",35584,53337
"Braidwood city, Illinois",34178,61222
"Breese city, Illinois",34758,61789
"Bridgeport city, Illinois",27245,46508
"Bridgeview village, Illinois",29908,52456
"Brighton village, Illinois",39583,52671
"Brimfield village, Illinois",26736,52703
"Broadlands village, Illinois",30781,51924
"Broadview village, Illinois",30523,53315
"Broadwell village, Illinois",37273,44778
"Brocton village, Illinois",26364,40964
"Brookfield village, Illinois",48992,71550
"Brooklyn village, Illinois",17477,22726
"Brookport city, Illinois",25900,39237
"Broughton village, Illinois",13542,32075
"Browning village, Illinois",25781,33373
"Browns village, Illinois",31500,43163
"Brownstown village, Illinois",20221,54742
"Brussels village, Illinois",32500,49305
"Bryant village, Illinois",30750,67349
"Buckingham village, Illinois",26786,54448
"Buckley village, Illinois",30242,48175
"Buckner village, Illinois",28611,36445
