Geographic Area Name,Estimate!!Households!!Mean income (dollars)
"Abingdon city, Illinois",49960
"Adair CDP, Illinois",82521
"Addieville village, Illinois",79494
"Addison village, Illinois",84621
"Adeline village, Illinois",63942
"Albany village, Illinois",72423
"Albers village, Illinois",89034
"Albion city, Illinois",56765
"Aledo city, Illinois",59021
"Alexis village, Illinois",62814
"Algonquin village, Illinois",119324
"Alhambra village, Illinois",53614
"Allendale village, Illinois",76428
"Allenville village, Illinois",60528
"Allerton village, Illinois",59228
"Alma village, Illinois",40532
"Alorton village, Illinois",40943
"Alpha village, Illinois",73357
"Alsey village, Illinois",44734
"Alsip village, Illinois",74224
"Altamont city, Illinois",55488
"Alton city, Illinois",53625
"Altona village, Illinois",63335
"Alto Pass village, Illinois",52603
"Alvan village, Illinois",49069
"Amboy city, Illinois",65007
"Anchor village, Illinois",70881
"Andalusia village, Illinois",83656
"Andover village, Illinois",68099
"Anna city, Illinois",53639
"Annapolis CDP, Illinois",N
"Annawan town, Illinois",65396
"Antioch village, Illinois",109422
"Apple Canyon Lake CDP, Illinois",89959
"Apple River village, Illinois",49251
"Arcola city, Illinois",56366
"Arenzville village, Illinois",83288
"Argenta village, Illinois",73795
"Arlington village, Illinois",73001
"Arlington Heights village, Illinois",123877
"Armington village, Illinois",55430
"Aroma Park village, Illinois",63249
"Arrowsmith village, Illinois",62347
"Arthur village, Illinois",68664
"Ashkum village, Illinois",75823
"Ashland village, Illinois",74491
"Ashley city, Illinois",58175
"Ashmore village, Illinois",53099
"Ashton village, Illinois",63702
"Assumption city, Illinois",51319
"Astoria town, Illinois",47214
"Athens city, Illinois",91137
"Atkinson town, Illinois",65565
"Atlanta city, Illinois",63097
"Atwood village, Illinois",52937
"Auburn city, Illinois",74312
"Augusta village, Illinois",46134
"Aurora city, Illinois",94667
"Ava city, Illinois",58972
"Aviston village, Illinois",99696
"Avon village, Illinois",61566
"Baldwin village, Illinois",50246
"Banner village, Illinois",77590
"Bannockburn village, Illinois",243713
"Bardolph village, Illinois",31375
"Barrington village, Illinois",165576
"Barrington Hills village, Illinois",257324
"Barry city, Illinois",54574
"Bartelso village, Illinois",98962
"Bartlett village, Illinois",121450
"Bartonville village, Illinois",60917
"Basco village, Illinois",47935
"Batavia city, Illinois",122297
"Batchtown village, Illinois",89542
"Bath village, Illinois",41702
"Baylis village, Illinois",41732
"Bay View Gardens village, Illinois",43202
"Beach Park village, Illinois",84020
"Beardstown city, Illinois",51475
"Beason CDP, Illinois",39054
"Beaverville village, Illinois",52193
"Beckemeyer village, Illinois",55109
"Bedford Park village, Illinois",97088
"Beecher village, Illinois",83699
"Beecher City village, Illinois",63517
"Belgium village, Illinois",52302
"Belknap village, Illinois",47296
"Belle Prairie City town, Illinois",62030
"Belle Rive village, Illinois",52053
"Belleville city, Illinois",62548
"Bellevue village, Illinois",74350
"Bellflower village, Illinois",67329
"Bellmont village, Illinois",43389
"Bellwood village, Illinois",74871
"Belvidere city, Illinois",60509
"Bement village, Illinois",63439
"Benld city, Illinois",51963
"Bensenville village, Illinois",76195
"Benson village, Illinois",68562
"Bentley town, Illinois",87863
"Benton city, Illinois",60761
"Berkeley village, Illinois",81102
"Berlin village, Illinois",57402
"Berwyn city, Illinois",75949
"Bethalto village, Illinois",73187
"Bethany village, Illinois",60912
"Biggsville village, Illinois",79249
"Big Rock village, Illinois",119924
"Bingham village, Illinois",41603
"Bishop Hill village, Illinois",53092
"Bismarck village, Illinois",69712
"Blandinsville village, Illinois",54488
"Bloomingdale village, Illinois",109978
"Bloomington city, Illinois",92272
"Blue Island city, Illinois",58403
"Blue Mound village, Illinois",57257
"Bluffs village, Illinois",60917
"Bluford village, Illinois",55583
"Bolingbrook village, Illinois",107741
"Bondville village, Illinois",61815
"Bone Gap village, Illinois",56763
"Bonfield village, Illinois",78671
"Bonnie village, Illinois",57156
"Boody CDP, Illinois",109378
"Boulder Hill CDP, Illinois",75800
"Bourbonnais village, Illinois",86011
"Bowen village, Illinois",66023
"Braceville village, Illinois",78295
"Bradford village, Illinois",58352
"Bradley village, Illinois",70911
"Braidwood city, Illinois",76993
"Breese city, Illinois",80704
"Bridgeport city, Illinois",56415
"Bridgeview village, Illinois",68315
"Brighton village, Illinois",67221
"Brimfield village, Illinois",73615
"Broadlands village, Illinois",68447
"Broadview village, Illinois",67588
"Broadwell village, Illinois",61851
