id,Place,MeanHouseholdIncome
1600000US1702154,"Arlington Heights village, Illinois",127135
1600000US1703012,"Aurora city, Illinois",97621
1600000US1706613,"Bloomington city, Illinois",86064
1600000US1707133,"Bolingbrook village, Illinois",108360
1600000US1712385,"Champaign city, Illinois",68387
1600000US1714000,"Chicago city, Illinois",97162
1600000US1714351,"Cicero town, Illinois",68050
1600000US1718823,"Decatur city, Illinois",59557
1600000US1723074,"Elgin city, Illinois",83971
1600000US1724582,"Evanston city, Illinois",143251
1600000US1738570,"Joliet city, Illinois",89190
1600000US1751622,"Naperville city, Illinois",165955
1600000US1757225,"Palatine village, Illinois",118991
1600000US1759000,"Peoria city, Illinois",80567
1600000US1765000,"Rockford city, Illinois",61267
1600000US1768003,"Schaumburg village, Illinois",102883
1600000US1770122,"Skokie village, Illinois",98762
1600000US1772000,"Springfield city, Illinois",74367
1600000US1779293,"Waukegan city, Illinois",69164
